Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	Library
45-49	36.71110175101322	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
50-54	36.678982674035495	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
55-59	36.68576586605828	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
60-64	36.689531489497995	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
65-69	36.66965050315691	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
70-74	36.65274321503373	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
75-79	36.65884583835674	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
80-84	36.66334509845447	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
85-89	36.66321046353588	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
90-94	36.652302098563574	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
95-99	36.645323323958884	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
100-104	36.631005646191696	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
105-109	36.60877540059116	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
110-114	36.60734193440333	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
115-119	36.59729878743896	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
120-124	36.59282333097538	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
125-129	36.56599076135983	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
130-134	36.527430332292525	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
135-139	36.52691902682629	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
140-144	36.514019213969014	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
145-149	36.46617218611548	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
150-151	36.72683954451852	37.0	37.0	37.0	37.0	37.0	V01_DN_R2_rmphix_fastqc
1	36.464865299179884	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
2	36.60437039855669	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
3	36.711250989507086	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
4	36.76398363549702	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
5	36.795853855041116	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
6	36.8049056376497	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
7	36.813035640373535	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
8	36.80661836482484	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
9	36.81725056725068	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
10-14	36.814422213057036	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
15-19	36.8114182250594	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
20-24	36.801843838921165	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
25-29	36.7943414955614	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
30-34	36.78694398682151	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
35-39	36.77538441094349	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
40-44	36.769868774223156	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
45-49	36.758966310843974	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
50-54	36.74240154467997	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
55-59	36.741057664320834	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
60-64	36.73906894723508	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
65-69	36.72766355907545	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
70-74	36.7320777626605	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
75-79	36.72910339946048	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
80-84	36.7228858912037	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
85-89	36.71347523688091	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
90-94	36.71122506196241	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
95-99	36.698753350849415	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
100-104	36.69027976968734	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
105-109	36.690184851948956	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
110-114	36.67646378702455	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
115-119	36.66227666794555	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
120-124	36.652485313360756	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
125-129	36.63698539831432	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
130-134	36.60523112367686	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
135-139	36.61819850521423	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
140-144	36.58216762655443	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
145-149	36.57584082147315	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
150-151	36.79815451102128	37.0	37.0	37.0	37.0	37.0	V03_DN_R1_rmphix_fastqc
1	36.659636108942784	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
2	36.74226458211298	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
3	36.76364886417267	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
4	36.82083229386644	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
5	36.80150393752649	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
6	36.81775061743214	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
7	36.80967001928701	37.0	37.0	37.0	37.0	37.0	V03_DN_R2_rmphix_fastqc
