Position	Illumina_Universal_Adapter	Illumina_Small_RNA_3_Adapter	Illumina_Small_RNA_5_Adapter	Nextera_Transposase_Sequence	SOLID_Small_RNA_Adapter	Library
6	2.2168652904071362E-5	3.4484571184111006E-5	9.113779527229338E-5	2.463183656007929E-6	2.8326612044091186E-4	V01_DN_R2_rmphix_fastqc
7	7.143232602422994E-5	3.4484571184111006E-5	1.0838008086434888E-4	2.463183656007929E-6	3.2514024259304664E-4	V01_DN_R2_rmphix_fastqc
8	1.2315918280039645E-4	5.172685677616651E-5	1.1330644817636474E-4	2.463183656007929E-6	3.81793466681229E-4	V01_DN_R2_rmphix_fastqc
9	1.601069376405154E-4	5.665322408818237E-5	1.2562236645640438E-4	4.926367312015858E-6	4.1874122152134796E-4	V01_DN_R2_rmphix_fastqc
10-14	2.083853372982708E-4	6.896914236822201E-5	1.5370266013489477E-4	4.926367312015858E-6	5.50767865483373E-4	V01_DN_R2_rmphix_fastqc
15-19	3.216917854746355E-4	1.0690217067074414E-4	2.2316443923431836E-4	5.419004043217444E-6	7.837850393417232E-4	V01_DN_R2_rmphix_fastqc
20-24	5.290918493105032E-4	1.246370929940012E-4	2.9262621833374197E-4	7.389550968023787E-6	0.0010010378378016223	V01_DN_R2_rmphix_fastqc
25-29	6.97080974650244E-4	1.4779101936047571E-4	3.670143647451814E-4	7.389550968023787E-6	0.0011995704404758616	V01_DN_R2_rmphix_fastqc
30-34	9.581784421870843E-4	1.7882713342617565E-4	4.3549087038220193E-4	7.389550968023787E-6	0.0014266759735597925	V01_DN_R2_rmphix_fastqc
35-39	0.0013503172802235468	2.0493688017985973E-4	5.05445286212827E-4	9.36009789283013E-6	0.0016183116619972095	V01_DN_R2_rmphix_fastqc
40-44	0.0018917250478140894	2.3104662693354373E-4	5.872229835922904E-4	1.2315918280039644E-5	0.0018035430729290056	V01_DN_R2_rmphix_fastqc
45-49	0.0024252506277054066	2.6454592465525155E-4	6.591479463477219E-4	1.2315918280039644E-5	0.00203163387947534	V01_DN_R2_rmphix_fastqc
50-54	0.0030932660352147572	2.8523666736571826E-4	7.197422642855169E-4	1.3793828473644402E-5	0.002218343200600741	V01_DN_R2_rmphix_fastqc
55-59	0.003887396445911714	3.167654181626197E-4	7.961009576217627E-4	1.7242285592055503E-5	0.002379928048434861	V01_DN_R2_rmphix_fastqc
60-64	0.004761334007063327	3.453383485723117E-4	8.557100020971546E-4	1.7242285592055503E-5	0.0026139304957556145	V01_DN_R2_rmphix_fastqc
65-69	0.005515068205801754	3.7144809532599566E-4	9.143337731101432E-4	1.7242285592055503E-5	0.0028366022982587316	V01_DN_R2_rmphix_fastqc
70-74	0.0063318599061339825	3.9460202169247017E-4	9.616268993054955E-4	1.7242285592055503E-5	0.0030233116193841324	V01_DN_R2_rmphix_fastqc
75-79	0.007127960863755745	4.182485847901463E-4	0.0010069494785760412	1.9705469248063432E-5	0.0032223368587895726	V01_DN_R2_rmphix_fastqc
80-84	0.007965443306798442	4.399246009630161E-4	0.0010448825068785634	1.9705469248063432E-5	0.0034371264735934643	V01_DN_R2_rmphix_fastqc
85-89	0.008840366141412457	4.724386252223208E-4	0.0010926682698051175	2.4139199828877706E-5	0.0036701436474518142	V01_DN_R2_rmphix_fastqc
90-94	0.009682282315035968	5.133274739120525E-4	0.001144395126581284	3.251402425930466E-5	0.003895771270342141	V01_DN_R2_rmphix_fastqc
95-99	0.01053454386001471	5.458414981713571E-4	0.0011995704404758616	3.842566503372369E-5	0.0040509518406706396	V01_DN_R2_rmphix_fastqc
100-104	0.011445429176006442	5.689954245378317E-4	0.0012591794849512534	4.138148542093321E-5	0.004250469716807283	V01_DN_R2_rmphix_fastqc
105-109	0.012402129707999924	5.76877612237057E-4	0.0012995756969097834	4.4337305808142724E-5	0.004477575249891215	V01_DN_R2_rmphix_fastqc
110-114	0.01333616895035813	5.965830814851204E-4	0.0013675595658156022	4.4337305808142724E-5	0.0046746299423718485	V01_DN_R2_rmphix_fastqc
115-119	0.014327846690266922	6.177664609267886E-4	0.0014325876143342115	4.581521600174748E-5	0.004866758267540466	V01_DN_R2_rmphix_fastqc
120-124	0.015019508660873948	6.3993511383086E-4	0.001487762928228789	4.6800489464150653E-5	0.005055930772321875	V01_DN_R2_rmphix_fastqc
125-129	0.015502292657451502	6.527436688421012E-4	0.001548357246166584	4.6800489464150653E-5	0.005238206362866462	V01_DN_R2_rmphix_fastqc
130-134	0.015985076654029057	6.680154075093504E-4	0.001621267482384419	4.6800489464150653E-5	0.005403732304550195	V01_DN_R2_rmphix_fastqc
135-139	0.01663190868209674	6.867356032950106E-4	0.0016739796126229885	4.6800489464150653E-5	0.005586007895094782	V01_DN_R2_rmphix_fastqc
140	0.017025525430326805	6.94617790994236E-4	0.0016922071716774473	4.6800489464150653E-5	0.005662859225162229	V01_DN_R2_rmphix_fastqc
1	7.900518982458451E-6	2.6335063274861504E-6	1.5801037964916902E-5	2.6335063274861504E-6	4.740311389475071E-5	V03_DN_R1_rmphix_fastqc
2	7.900518982458451E-6	5.267012654972301E-6	2.6335063274861504E-5	2.6335063274861504E-6	7.373817716961221E-5	V03_DN_R1_rmphix_fastqc
3	1.0534025309944601E-5	1.3167531637430752E-5	3.9502594912292256E-5	2.6335063274861504E-6	1.0534025309944601E-4	V03_DN_R1_rmphix_fastqc
