Base	N_Count	Library
5	0.003706939598223839	V03_DN_S219_L003_R1_001_fastqc
6	0.0	V03_DN_S219_L003_R1_001_fastqc
7	7.194389351816003E-4	V03_DN_S219_L003_R1_001_fastqc
8	0.0	V03_DN_S219_L003_R1_001_fastqc
9	7.316328154389157E-5	V03_DN_S219_L003_R1_001_fastqc
10-14	3.463061993077534E-4	V03_DN_S219_L003_R1_001_fastqc
15-19	2.194898446316747E-5	V03_DN_S219_L003_R1_001_fastqc
20-24	2.048571883228964E-4	V03_DN_S219_L003_R1_001_fastqc
25-29	4.097143766457928E-4	V03_DN_S219_L003_R1_001_fastqc
30-34	0.001397418677488329	V03_DN_S219_L003_R1_001_fastqc
35-39	0.0017437248767960822	V03_DN_S219_L003_R1_001_fastqc
40-44	0.0019437045130160527	V03_DN_S219_L003_R1_001_fastqc
45-49	0.0010706226865922798	V03_DN_S219_L003_R1_001_fastqc
50-54	0.002753378162101786	V03_DN_S219_L003_R1_001_fastqc
55-59	0.0029631129025276086	V03_DN_S219_L003_R1_001_fastqc
60-64	0.0015705717771422058	V03_DN_S219_L003_R1_001_fastqc
65-69	0.0023290311291472147	V03_DN_S219_L003_R1_001_fastqc
70-74	0.0019241943046043482	V03_DN_S219_L003_R1_001_fastqc
75-79	0.0016486126107890233	V03_DN_S219_L003_R1_001_fastqc
80-84	0.0012242655778344522	V03_DN_S219_L003_R1_001_fastqc
85-89	0.0015291125842673337	V03_DN_S219_L003_R1_001_fastqc
90-94	0.0018510310230604567	V03_DN_S219_L003_R1_001_fastqc
95-99	0.0020290616748172593	V03_DN_S219_L003_R1_001_fastqc
100-104	0.002209531102625525	V03_DN_S219_L003_R1_001_fastqc
105-109	0.001736408548641693	V03_DN_S219_L003_R1_001_fastqc
110-114	0.0028655618604690866	V03_DN_S219_L003_R1_001_fastqc
115-119	0.0049751031449846266	V03_DN_S219_L003_R1_001_fastqc
120-124	0.0031021231374610022	V03_DN_S219_L003_R1_001_fastqc
125-129	0.0020095514664055553	V03_DN_S219_L003_R1_001_fastqc
130-134	0.003809368192385288	V03_DN_S219_L003_R1_001_fastqc
135-139	0.004845848014257085	V03_DN_S219_L003_R1_001_fastqc
140-144	0.0042702968661118045	V03_DN_S219_L003_R1_001_fastqc
145-149	0.003533786498569963	V03_DN_S219_L003_R1_001_fastqc
150-151	0.0035362252746214255	V03_DN_S219_L003_R1_001_fastqc
1	0.014730207350836834	V03_DN_S219_L003_R2_001_fastqc
2	0.013766890810508931	V03_DN_S219_L003_R2_001_fastqc
3	0.005340919552704084	V03_DN_S219_L003_R2_001_fastqc
4	0.0	V03_DN_S219_L003_R2_001_fastqc
5	0.003987398844142091	V03_DN_S219_L003_R2_001_fastqc
6	3.6581640771945785E-5	V03_DN_S219_L003_R2_001_fastqc
7	0.004767807180610267	V03_DN_S219_L003_R2_001_fastqc
8	0.0	V03_DN_S219_L003_R2_001_fastqc
9	1.4632656308778314E-4	V03_DN_S219_L003_R2_001_fastqc
10-14	0.0021241739408243187	V03_DN_S219_L003_R2_001_fastqc
15-19	0.004070317229891834	V03_DN_S219_L003_R2_001_fastqc
20-24	0.006428613671656606	V03_DN_S219_L003_R2_001_fastqc
25-29	0.0014803370632380727	V03_DN_S219_L003_R2_001_fastqc
30-34	0.004092266214355001	V03_DN_S219_L003_R2_001_fastqc
35-39	0.00196565349747922	V03_DN_S219_L003_R2_001_fastqc
40-44	0.006445685104016847	V03_DN_S219_L003_R2_001_fastqc
45-49	0.002385122978330865	V03_DN_S219_L003_R2_001_fastqc
50-54	0.004243470329545711	V03_DN_S219_L003_R2_001_fastqc
55-59	0.009177114281655466	V03_DN_S219_L003_R2_001_fastqc
60-64	0.00831866511154047	V03_DN_S219_L003_R2_001_fastqc
65-69	0.011428104577155863	V03_DN_S219_L003_R2_001_fastqc
70-74	0.015152115607739942	V03_DN_S219_L003_R2_001_fastqc
75-79	0.012286553747270857	V03_DN_S219_L003_R2_001_fastqc
80-84	0.008406461049393141	V03_DN_S219_L003_R2_001_fastqc
85-89	0.012515798696108383	V03_DN_S219_L003_R2_001_fastqc
90-94	0.013796156123126487	V03_DN_S219_L003_R2_001_fastqc
95-99	0.01602763621021518	V03_DN_S219_L003_R2_001_fastqc
100-104	0.013681533648707722	V03_DN_S219_L003_R2_001_fastqc
105-109	0.01113057389887737	V03_DN_S219_L003_R2_001_fastqc
110-114	0.012530431352417163	V03_DN_S219_L003_R2_001_fastqc
115-119	0.01224753333044745	V03_DN_S219_L003_R2_001_fastqc
120-124	0.011174471867803706	V03_DN_S219_L003_R2_001_fastqc
125-129	0.014869217585770231	V03_DN_S219_L003_R2_001_fastqc
130-134	0.010598920719658424	V03_DN_S219_L003_R2_001_fastqc
135-139	0.010696471761716947	V03_DN_S219_L003_R2_001_fastqc
140-144	0.002753378162101786	V03_DN_S219_L003_R2_001_fastqc
145-149	0.0022314800870886927	V03_DN_S219_L003_R2_001_fastqc
150-151	0.0035240313943641103	V03_DN_S219_L003_R2_001_fastqc
1	0.011580632796870318	V05_DN_S220_L003_R1_001_fastqc
2	0.004295398223279783	V05_DN_S220_L003_R1_001_fastqc
3	0.0	V05_DN_S220_L003_R1_001_fastqc
4	0.02226431468864741	V05_DN_S220_L003_R1_001_fastqc
5	0.0037073970743853346	V05_DN_S220_L003_R1_001_fastqc
6	0.0	V05_DN_S220_L003_R1_001_fastqc
7	7.873235722484984E-4	V05_DN_S220_L003_R1_001_fastqc
8	0.0	V05_DN_S220_L003_R1_001_fastqc
9	9.966121167702512E-5	V05_DN_S220_L003_R1_001_fastqc
10-14	3.1692265313293985E-4	V05_DN_S220_L003_R1_001_fastqc
15-19	1.3952569634783517E-5	V05_DN_S220_L003_R1_001_fastqc
20-24	1.8536985371926673E-4	V05_DN_S220_L003_R1_001_fastqc
25-29	4.1658386480996506E-4	V05_DN_S220_L003_R1_001_fastqc
30-34	0.0013693450484423251	V05_DN_S220_L003_R1_001_fastqc
35-39	0.0016503896653715358	V05_DN_S220_L003_R1_001_fastqc
40-44	0.0019134952641988823	V05_DN_S220_L003_R1_001_fastqc
45-49	9.427950624646576E-4	V05_DN_S220_L003_R1_001_fastqc
50-54	0.0025931847278361933	V05_DN_S220_L003_R1_001_fastqc
55-59	0.0029659176595082676	V05_DN_S220_L003_R1_001_fastqc
60-64	0.0015168436417243223	V05_DN_S220_L003_R1_001_fastqc
65-69	0.0020609938574808794	V05_DN_S220_L003_R1_001_fastqc
70-74	0.0018716375552945317	V05_DN_S220_L003_R1_001_fastqc
75-79	0.0015547149021615918	V05_DN_S220_L003_R1_001_fastqc
80-84	0.0011560700554534913	V05_DN_S220_L003_R1_001_fastqc
85-89	0.0014251553269814593	V05_DN_S220_L003_R1_001_fastqc
90-94	0.0017161660650783727	V05_DN_S220_L003_R1_001_fastqc
95-99	0.0019294410580672063	V05_DN_S220_L003_R1_001_fastqc
100-104	0.0021865669841939312	V05_DN_S220_L003_R1_001_fastqc
105-109	0.0017380915316473182	V05_DN_S220_L003_R1_001_fastqc
110-114	0.0028582835508970806	V05_DN_S220_L003_R1_001_fastqc
115-119	0.004594381858310858	V05_DN_S220_L003_R1_001_fastqc
120-124	0.0029738905564424293	V05_DN_S220_L003_R1_001_fastqc
125-129	0.0019613326458038545	V05_DN_S220_L003_R1_001_fastqc
130-134	0.003601756190007688	V05_DN_S220_L003_R1_001_fastqc
135-139	0.0045884021856102365	V05_DN_S220_L003_R1_001_fastqc
140-144	0.004074150333356787	V05_DN_S220_L003_R1_001_fastqc
145-149	0.0034363185786238266	V05_DN_S220_L003_R1_001_fastqc
150-151	0.0034682101663604742	V05_DN_S220_L003_R1_001_fastqc
1	0.014560503026013371	V05_DN_S220_L003_R2_001_fastqc
2	0.012906126912174755	V05_DN_S220_L003_R2_001_fastqc
3	0.004853501008671123	V05_DN_S220_L003_R2_001_fastqc
4	0.0	V05_DN_S220_L003_R2_001_fastqc
5	0.0035678713780374995	V05_DN_S220_L003_R2_001_fastqc
6	1.9932242335405023E-5	V05_DN_S220_L003_R2_001_fastqc
7	0.004554517373640048	V05_DN_S220_L003_R2_001_fastqc
8	0.0	V05_DN_S220_L003_R2_001_fastqc
9	1.6942405985094272E-4	V05_DN_S220_L003_R2_001_fastqc
10-14	0.0021207905844870946	V05_DN_S220_L003_R2_001_fastqc
15-19	0.003996414588248707	V05_DN_S220_L003_R2_001_fastqc
20-24	0.00630456825068861	V05_DN_S220_L003_R2_001_fastqc
25-29	0.0013553924788075418	V05_DN_S220_L003_R2_001_fastqc
30-34	0.0039804687943803835	V05_DN_S220_L003_R2_001_fastqc
35-39	0.0019115020399653418	V05_DN_S220_L003_R2_001_fastqc
40-44	0.006418182032000418	V05_DN_S220_L003_R2_001_fastqc
45-49	0.0021247770329541754	V05_DN_S220_L003_R2_001_fastqc
50-54	0.0041180012664946775	V05_DN_S220_L003_R2_001_fastqc
55-59	0.009216668855891284	V05_DN_S220_L003_R2_001_fastqc
60-64	0.00833566374466638	V05_DN_S220_L003_R2_001_fastqc
65-69	0.011335466216144837	V05_DN_S220_L003_R2_001_fastqc
70-74	0.014632259098420829	V05_DN_S220_L003_R2_001_fastqc
75-79	0.01214471525496228	V05_DN_S220_L003_R2_001_fastqc
80-84	0.008307758605396814	V05_DN_S220_L003_R2_001_fastqc
85-89	0.012686872246485298	V05_DN_S220_L003_R2_001_fastqc
90-94	0.013938617065148732	V05_DN_S220_L003_R2_001_fastqc
95-99	0.015730525651101643	V05_DN_S220_L003_R2_001_fastqc
100-104	0.013741287866028223	V05_DN_S220_L003_R2_001_fastqc
105-109	0.011134150568557247	V05_DN_S220_L003_R2_001_fastqc
