Quality	Count	Library
26	82086.0	V03_DN_S219_L003_R2_001_fastqc
27	94784.0	V03_DN_S219_L003_R2_001_fastqc
28	102405.0	V03_DN_S219_L003_R2_001_fastqc
29	107310.0	V03_DN_S219_L003_R2_001_fastqc
30	106067.0	V03_DN_S219_L003_R2_001_fastqc
31	105128.0	V03_DN_S219_L003_R2_001_fastqc
32	103919.0	V03_DN_S219_L003_R2_001_fastqc
33	121827.0	V03_DN_S219_L003_R2_001_fastqc
34	189952.0	V03_DN_S219_L003_R2_001_fastqc
35	467841.0	V03_DN_S219_L003_R2_001_fastqc
36	4344608.0	V03_DN_S219_L003_R2_001_fastqc
37	2121259.0	V03_DN_S219_L003_R2_001_fastqc
13	2.0	V05_DN_S220_L003_R1_001_fastqc
14	15.0	V05_DN_S220_L003_R1_001_fastqc
15	39.0	V05_DN_S220_L003_R1_001_fastqc
16	97.0	V05_DN_S220_L003_R1_001_fastqc
17	166.0	V05_DN_S220_L003_R1_001_fastqc
18	277.0	V05_DN_S220_L003_R1_001_fastqc
19	413.0	V05_DN_S220_L003_R1_001_fastqc
20	602.0	V05_DN_S220_L003_R1_001_fastqc
21	1111.0	V05_DN_S220_L003_R1_001_fastqc
22	1872.0	V05_DN_S220_L003_R1_001_fastqc
23	2993.0	V05_DN_S220_L003_R1_001_fastqc
24	4481.0	V05_DN_S220_L003_R1_001_fastqc
25	6996.0	V05_DN_S220_L003_R1_001_fastqc
26	10605.0	V05_DN_S220_L003_R1_001_fastqc
27	16067.0	V05_DN_S220_L003_R1_001_fastqc
28	21479.0	V05_DN_S220_L003_R1_001_fastqc
29	28022.0	V05_DN_S220_L003_R1_001_fastqc
30	35100.0	V05_DN_S220_L003_R1_001_fastqc
31	47182.0	V05_DN_S220_L003_R1_001_fastqc
32	65226.0	V05_DN_S220_L003_R1_001_fastqc
33	101221.0	V05_DN_S220_L003_R1_001_fastqc
34	174123.0	V05_DN_S220_L003_R1_001_fastqc
35	398649.0	V05_DN_S220_L003_R1_001_fastqc
36	4365472.0	V05_DN_S220_L003_R1_001_fastqc
37	4751784.0	V05_DN_S220_L003_R1_001_fastqc
9	1.0	V05_DN_S220_L003_R2_001_fastqc
10	0.0	V05_DN_S220_L003_R2_001_fastqc
