GC_Content	Count	Library
97	140.5	V01_DN_S218_L003_R1_001_fastqc
98	236.0	V01_DN_S218_L003_R1_001_fastqc
99	153.5	V01_DN_S218_L003_R1_001_fastqc
100	31.5	V01_DN_S218_L003_R1_001_fastqc
0	83.0	V01_DN_S218_L003_R2_001_fastqc
1	99.0	V01_DN_S218_L003_R2_001_fastqc
2	136.0	V01_DN_S218_L003_R2_001_fastqc
3	198.5	V01_DN_S218_L003_R2_001_fastqc
4	317.5	V01_DN_S218_L003_R2_001_fastqc
5	477.5	V01_DN_S218_L003_R2_001_fastqc
6	654.0	V01_DN_S218_L003_R2_001_fastqc
7	881.5	V01_DN_S218_L003_R2_001_fastqc
8	1192.0	V01_DN_S218_L003_R2_001_fastqc
9	1604.0	V01_DN_S218_L003_R2_001_fastqc
10	2074.5	V01_DN_S218_L003_R2_001_fastqc
11	2650.0	V01_DN_S218_L003_R2_001_fastqc
12	3327.0	V01_DN_S218_L003_R2_001_fastqc
13	3996.5	V01_DN_S218_L003_R2_001_fastqc
14	4714.5	V01_DN_S218_L003_R2_001_fastqc
15	5386.0	V01_DN_S218_L003_R2_001_fastqc
16	5934.0	V01_DN_S218_L003_R2_001_fastqc
17	6365.5	V01_DN_S218_L003_R2_001_fastqc
18	6806.0	V01_DN_S218_L003_R2_001_fastqc
19	7271.0	V01_DN_S218_L003_R2_001_fastqc
20	7816.5	V01_DN_S218_L003_R2_001_fastqc
21	8446.0	V01_DN_S218_L003_R2_001_fastqc
22	9276.0	V01_DN_S218_L003_R2_001_fastqc
23	10473.0	V01_DN_S218_L003_R2_001_fastqc
24	11892.5	V01_DN_S218_L003_R2_001_fastqc
25	13566.5	V01_DN_S218_L003_R2_001_fastqc
26	15580.5	V01_DN_S218_L003_R2_001_fastqc
27	17986.0	V01_DN_S218_L003_R2_001_fastqc
28	21081.5	V01_DN_S218_L003_R2_001_fastqc
29	24662.0	V01_DN_S218_L003_R2_001_fastqc
30	28590.5	V01_DN_S218_L003_R2_001_fastqc
31	33134.0	V01_DN_S218_L003_R2_001_fastqc
32	37943.5	V01_DN_S218_L003_R2_001_fastqc
33	43022.5	V01_DN_S218_L003_R2_001_fastqc
34	48698.5	V01_DN_S218_L003_R2_001_fastqc
35	54528.0	V01_DN_S218_L003_R2_001_fastqc
36	60925.0	V01_DN_S218_L003_R2_001_fastqc
37	67393.0	V01_DN_S218_L003_R2_001_fastqc
38	73696.5	V01_DN_S218_L003_R2_001_fastqc
39	80003.0	V01_DN_S218_L003_R2_001_fastqc
40	86002.0	V01_DN_S218_L003_R2_001_fastqc
41	91542.0	V01_DN_S218_L003_R2_001_fastqc
42	96330.0	V01_DN_S218_L003_R2_001_fastqc
43	100476.5	V01_DN_S218_L003_R2_001_fastqc
44	103891.0	V01_DN_S218_L003_R2_001_fastqc
45	106986.0	V01_DN_S218_L003_R2_001_fastqc
46	109720.5	V01_DN_S218_L003_R2_001_fastqc
47	112440.0	V01_DN_S218_L003_R2_001_fastqc
48	116256.5	V01_DN_S218_L003_R2_001_fastqc
49	121276.0	V01_DN_S218_L003_R2_001_fastqc
50	126899.5	V01_DN_S218_L003_R2_001_fastqc
51	134217.5	V01_DN_S218_L003_R2_001_fastqc
52	142573.5	V01_DN_S218_L003_R2_001_fastqc
53	152476.5	V01_DN_S218_L003_R2_001_fastqc
54	165339.5	V01_DN_S218_L003_R2_001_fastqc
55	178300.0	V01_DN_S218_L003_R2_001_fastqc
56	192617.0	V01_DN_S218_L003_R2_001_fastqc
57	209615.0	V01_DN_S218_L003_R2_001_fastqc
58	227647.5	V01_DN_S218_L003_R2_001_fastqc
59	247877.5	V01_DN_S218_L003_R2_001_fastqc
60	268345.0	V01_DN_S218_L003_R2_001_fastqc
61	288386.5	V01_DN_S218_L003_R2_001_fastqc
62	307808.0	V01_DN_S218_L003_R2_001_fastqc
63	324283.0	V01_DN_S218_L003_R2_001_fastqc
64	336372.5	V01_DN_S218_L003_R2_001_fastqc
65	343529.0	V01_DN_S218_L003_R2_001_fastqc
66	343968.0	V01_DN_S218_L003_R2_001_fastqc
67	335829.0	V01_DN_S218_L003_R2_001_fastqc
68	320480.5	V01_DN_S218_L003_R2_001_fastqc
69	298362.5	V01_DN_S218_L003_R2_001_fastqc
70	270021.5	V01_DN_S218_L003_R2_001_fastqc
71	236080.5	V01_DN_S218_L003_R2_001_fastqc
72	200452.5	V01_DN_S218_L003_R2_001_fastqc
73	164896.5	V01_DN_S218_L003_R2_001_fastqc
74	130614.0	V01_DN_S218_L003_R2_001_fastqc
75	100517.0	V01_DN_S218_L003_R2_001_fastqc
76	75054.0	V01_DN_S218_L003_R2_001_fastqc
77	54244.5	V01_DN_S218_L003_R2_001_fastqc
78	38430.5	V01_DN_S218_L003_R2_001_fastqc
79	27038.5	V01_DN_S218_L003_R2_001_fastqc
80	18485.5	V01_DN_S218_L003_R2_001_fastqc
81	12622.0	V01_DN_S218_L003_R2_001_fastqc
82	8659.0	V01_DN_S218_L003_R2_001_fastqc
83	6150.0	V01_DN_S218_L003_R2_001_fastqc
84	4482.0	V01_DN_S218_L003_R2_001_fastqc
85	3316.0	V01_DN_S218_L003_R2_001_fastqc
86	2653.5	V01_DN_S218_L003_R2_001_fastqc
87	2253.5	V01_DN_S218_L003_R2_001_fastqc
88	2017.5	V01_DN_S218_L003_R2_001_fastqc
89	1881.5	V01_DN_S218_L003_R2_001_fastqc
90	1818.0	V01_DN_S218_L003_R2_001_fastqc
91	1826.0	V01_DN_S218_L003_R2_001_fastqc
92	1819.0	V01_DN_S218_L003_R2_001_fastqc
93	1787.0	V01_DN_S218_L003_R2_001_fastqc
94	1813.5	V01_DN_S218_L003_R2_001_fastqc
95	1860.0	V01_DN_S218_L003_R2_001_fastqc
96	1953.5	V01_DN_S218_L003_R2_001_fastqc
97	2119.0	V01_DN_S218_L003_R2_001_fastqc
98	2380.5	V01_DN_S218_L003_R2_001_fastqc
99	3123.0	V01_DN_S218_L003_R2_001_fastqc
100	22238.0	V01_DN_S218_L003_R2_001_fastqc
0	9.0	V03_DN_S219_L003_R1_001_fastqc
1	8.5	V03_DN_S219_L003_R1_001_fastqc
2	8.0	V03_DN_S219_L003_R1_001_fastqc
3	9.5	V03_DN_S219_L003_R1_001_fastqc
4	12.0	V03_DN_S219_L003_R1_001_fastqc
5	13.0	V03_DN_S219_L003_R1_001_fastqc
6	14.0	V03_DN_S219_L003_R1_001_fastqc
7	25.5	V03_DN_S219_L003_R1_001_fastqc
8	40.0	V03_DN_S219_L003_R1_001_fastqc
9	56.0	V03_DN_S219_L003_R1_001_fastqc
10	77.0	V03_DN_S219_L003_R1_001_fastqc
11	113.0	V03_DN_S219_L003_R1_001_fastqc
12	169.0	V03_DN_S219_L003_R1_001_fastqc
13	204.5	V03_DN_S219_L003_R1_001_fastqc
14	263.5	V03_DN_S219_L003_R1_001_fastqc
15	355.5	V03_DN_S219_L003_R1_001_fastqc
16	487.0	V03_DN_S219_L003_R1_001_fastqc
17	650.0	V03_DN_S219_L003_R1_001_fastqc
18	868.5	V03_DN_S219_L003_R1_001_fastqc
19	1204.0	V03_DN_S219_L003_R1_001_fastqc
20	1561.0	V03_DN_S219_L003_R1_001_fastqc
21	2112.0	V03_DN_S219_L003_R1_001_fastqc
22	2975.0	V03_DN_S219_L003_R1_001_fastqc
23	3949.0	V03_DN_S219_L003_R1_001_fastqc
24	5201.0	V03_DN_S219_L003_R1_001_fastqc
25	6841.0	V03_DN_S219_L003_R1_001_fastqc
26	8766.5	V03_DN_S219_L003_R1_001_fastqc
27	11199.5	V03_DN_S219_L003_R1_001_fastqc
28	14176.5	V03_DN_S219_L003_R1_001_fastqc
29	17894.5	V03_DN_S219_L003_R1_001_fastqc
30	22309.0	V03_DN_S219_L003_R1_001_fastqc
31	27203.0	V03_DN_S219_L003_R1_001_fastqc
32	32410.5	V03_DN_S219_L003_R1_001_fastqc
33	37862.0	V03_DN_S219_L003_R1_001_fastqc
34	44042.0	V03_DN_S219_L003_R1_001_fastqc
35	50264.5	V03_DN_S219_L003_R1_001_fastqc
