Quality	Count	Library
34	156815.0	WUB_TM01_R2_rmphix_fastqc
35	3049305.0	WUB_TM01_R2_rmphix_fastqc
36	5.0752938E7	WUB_TM01_R2_rmphix_fastqc
37	1.4525742E7	WUB_TM01_R2_rmphix_fastqc
32	56.0	WUB_TM02_R1_rmphix_fastqc
33	7758.0	WUB_TM02_R1_rmphix_fastqc
34	233286.0	WUB_TM02_R1_rmphix_fastqc
35	3049209.0	WUB_TM02_R1_rmphix_fastqc
36	4.3776084E7	WUB_TM02_R1_rmphix_fastqc
37	2.0100214E7	WUB_TM02_R1_rmphix_fastqc
32	15.0	WUB_TM02_R2_rmphix_fastqc
33	3516.0	WUB_TM02_R2_rmphix_fastqc
34	140407.0	WUB_TM02_R2_rmphix_fastqc
35	2786572.0	WUB_TM02_R2_rmphix_fastqc
36	4.9292848E7	WUB_TM02_R2_rmphix_fastqc
37	1.4943249E7	WUB_TM02_R2_rmphix_fastqc
32	63.0	WUB_TM03_R1_rmphix_fastqc
33	10524.0	WUB_TM03_R1_rmphix_fastqc
34	299587.0	WUB_TM03_R1_rmphix_fastqc
35	3637045.0	WUB_TM03_R1_rmphix_fastqc
36	4.2795288E7	WUB_TM03_R1_rmphix_fastqc
37	2.1554195E7	WUB_TM03_R1_rmphix_fastqc
32	22.0	WUB_TM03_R2_rmphix_fastqc
33	3362.0	WUB_TM03_R2_rmphix_fastqc
34	131531.0	WUB_TM03_R2_rmphix_fastqc
35	2554770.0	WUB_TM03_R2_rmphix_fastqc
36	4.7660757E7	WUB_TM03_R2_rmphix_fastqc
37	1.794626E7	WUB_TM03_R2_rmphix_fastqc
32	85.0	WUB_TM04_R1_rmphix_fastqc
33	12416.0	WUB_TM04_R1_rmphix_fastqc
34	354648.0	WUB_TM04_R1_rmphix_fastqc
35	4244904.0	WUB_TM04_R1_rmphix_fastqc
36	4.792207E7	WUB_TM04_R1_rmphix_fastqc
37	2.2106665E7	WUB_TM04_R1_rmphix_fastqc
32	31.0	WUB_TM04_R2_rmphix_fastqc
33	4070.0	WUB_TM04_R2_rmphix_fastqc
34	152980.0	WUB_TM04_R2_rmphix_fastqc
35	3013455.0	WUB_TM04_R2_rmphix_fastqc
36	5.2722848E7	WUB_TM04_R2_rmphix_fastqc
