Base	N_Count	Library
25-29	0.0	V17_DN_R2_rmphix_fastqc
30-34	0.0	V17_DN_R2_rmphix_fastqc
35-39	0.0	V17_DN_R2_rmphix_fastqc
40-44	0.0	V17_DN_R2_rmphix_fastqc
45-49	0.0	V17_DN_R2_rmphix_fastqc
50-54	0.0	V17_DN_R2_rmphix_fastqc
55-59	0.0	V17_DN_R2_rmphix_fastqc
60-64	0.0	V17_DN_R2_rmphix_fastqc
65-69	0.0	V17_DN_R2_rmphix_fastqc
70-74	0.0	V17_DN_R2_rmphix_fastqc
75-79	0.0	V17_DN_R2_rmphix_fastqc
80-84	0.0	V17_DN_R2_rmphix_fastqc
85-89	0.0	V17_DN_R2_rmphix_fastqc
90-94	0.0	V17_DN_R2_rmphix_fastqc
95-99	0.0	V17_DN_R2_rmphix_fastqc
100-104	0.0	V17_DN_R2_rmphix_fastqc
105-109	0.0	V17_DN_R2_rmphix_fastqc
110-114	0.0	V17_DN_R2_rmphix_fastqc
115-119	0.0	V17_DN_R2_rmphix_fastqc
