Length	Count	Library
125-129	187835.0	V05_DN_R1_rmphix_fastqc
130-134	213552.0	V05_DN_R1_rmphix_fastqc
135-139	208457.0	V05_DN_R1_rmphix_fastqc
140-144	225199.0	V05_DN_R1_rmphix_fastqc
145-149	265785.0	V05_DN_R1_rmphix_fastqc
150-152	2.4023946E7	V05_DN_R1_rmphix_fastqc
50-54	211555.0	V05_DN_R2_rmphix_fastqc
55-59	210373.0	V05_DN_R2_rmphix_fastqc
60-64	206978.0	V05_DN_R2_rmphix_fastqc
65-69	213822.0	V05_DN_R2_rmphix_fastqc
70-74	213509.0	V05_DN_R2_rmphix_fastqc
75-79	212034.0	V05_DN_R2_rmphix_fastqc
80-84	214227.0	V05_DN_R2_rmphix_fastqc
85-89	216596.0	V05_DN_R2_rmphix_fastqc
90-94	226904.0	V05_DN_R2_rmphix_fastqc
95-99	230244.0	V05_DN_R2_rmphix_fastqc
100-104	241688.0	V05_DN_R2_rmphix_fastqc
105-109	252532.0	V05_DN_R2_rmphix_fastqc
110-114	266098.0	V05_DN_R2_rmphix_fastqc
115-119	276909.0	V05_DN_R2_rmphix_fastqc
120-124	281523.0	V05_DN_R2_rmphix_fastqc
125-129	295687.0	V05_DN_R2_rmphix_fastqc
130-134	329436.0	V05_DN_R2_rmphix_fastqc
135-139	328537.0	V05_DN_R2_rmphix_fastqc
140-144	344457.0	V05_DN_R2_rmphix_fastqc
145-149	425141.0	V05_DN_R2_rmphix_fastqc
150-152	2.2298958E7	V05_DN_R2_rmphix_fastqc
50-54	154478.0	V09_DN_R1_rmphix_fastqc
55-59	155614.0	V09_DN_R1_rmphix_fastqc
60-64	152892.0	V09_DN_R1_rmphix_fastqc
65-69	148737.0	V09_DN_R1_rmphix_fastqc
70-74	150561.0	V09_DN_R1_rmphix_fastqc
75-79	152878.0	V09_DN_R1_rmphix_fastqc
80-84	153465.0	V09_DN_R1_rmphix_fastqc
85-89	157050.0	V09_DN_R1_rmphix_fastqc
90-94	158838.0	V09_DN_R1_rmphix_fastqc
95-99	159434.0	V09_DN_R1_rmphix_fastqc
100-104	167278.0	V09_DN_R1_rmphix_fastqc
105-109	170043.0	V09_DN_R1_rmphix_fastqc
110-114	176639.0	V09_DN_R1_rmphix_fastqc
115-119	188601.0	V09_DN_R1_rmphix_fastqc
120-124	189685.0	V09_DN_R1_rmphix_fastqc
125-129	194046.0	V09_DN_R1_rmphix_fastqc
130-134	219707.0	V09_DN_R1_rmphix_fastqc
135-139	215579.0	V09_DN_R1_rmphix_fastqc
140-144	232225.0	V09_DN_R1_rmphix_fastqc
145-149	275319.0	V09_DN_R1_rmphix_fastqc
150-152	2.4659852E7	V09_DN_R1_rmphix_fastqc
50-54	228724.0	V09_DN_R2_rmphix_fastqc
55-59	224906.0	V09_DN_R2_rmphix_fastqc
60-64	221835.0	V09_DN_R2_rmphix_fastqc
65-69	231349.0	V09_DN_R2_rmphix_fastqc
70-74	233453.0	V09_DN_R2_rmphix_fastqc
75-79	233729.0	V09_DN_R2_rmphix_fastqc
80-84	237429.0	V09_DN_R2_rmphix_fastqc
85-89	237935.0	V09_DN_R2_rmphix_fastqc
90-94	248737.0	V09_DN_R2_rmphix_fastqc
95-99	251370.0	V09_DN_R2_rmphix_fastqc
100-104	263902.0	V09_DN_R2_rmphix_fastqc
105-109	274655.0	V09_DN_R2_rmphix_fastqc
110-114	289650.0	V09_DN_R2_rmphix_fastqc
115-119	298816.0	V09_DN_R2_rmphix_fastqc
120-124	304153.0	V09_DN_R2_rmphix_fastqc
125-129	320046.0	V09_DN_R2_rmphix_fastqc
130-134	351862.0	V09_DN_R2_rmphix_fastqc
135-139	351061.0	V09_DN_R2_rmphix_fastqc
140-144	365071.0	V09_DN_R2_rmphix_fastqc
145-149	450309.0	V09_DN_R2_rmphix_fastqc
150-152	2.2613929E7	V09_DN_R2_rmphix_fastqc
50-54	165556.0	V10_DN_R1_rmphix_fastqc
55-59	166323.0	V10_DN_R1_rmphix_fastqc
60-64	163773.0	V10_DN_R1_rmphix_fastqc
65-69	158427.0	V10_DN_R1_rmphix_fastqc
70-74	160425.0	V10_DN_R1_rmphix_fastqc
75-79	163177.0	V10_DN_R1_rmphix_fastqc
80-84	162645.0	V10_DN_R1_rmphix_fastqc
85-89	164918.0	V10_DN_R1_rmphix_fastqc
90-94	168023.0	V10_DN_R1_rmphix_fastqc
95-99	167279.0	V10_DN_R1_rmphix_fastqc
100-104	175237.0	V10_DN_R1_rmphix_fastqc
105-109	176073.0	V10_DN_R1_rmphix_fastqc
110-114	183262.0	V10_DN_R1_rmphix_fastqc
115-119	195098.0	V10_DN_R1_rmphix_fastqc
120-124	195931.0	V10_DN_R1_rmphix_fastqc
125-129	199626.0	V10_DN_R1_rmphix_fastqc
130-134	225506.0	V10_DN_R1_rmphix_fastqc
135-139	219684.0	V10_DN_R1_rmphix_fastqc
140-144	236330.0	V10_DN_R1_rmphix_fastqc
145-149	278969.0	V10_DN_R1_rmphix_fastqc
150-152	2.4476752E7	V10_DN_R1_rmphix_fastqc
50-54	220389.0	V10_DN_R2_rmphix_fastqc
